Rank,Company,Country,Industry,Revenue (USD),Profit (USD),Employees,Profit Margin (%),Revenue per Employee ($),Profit per Employee ($),ISO_Alpha3
1,Amazon,United States,Retail / E-Commerce,716,79.9,1576000,11.159217877094974,454314.72081218276,50697.96954314721,USA
2,Walmart,United States,Retail,713,21.8,2100000,3.0575035063113605,339523.8095238095,10380.952380952382,USA
3,State Grid Corporation of China,China,Electricity,545,9.2,1361423,1.6880733944954127,400316.4336139466,6757.635209629924,CHN
4,Saudi Aramco,Saudi Arabia,Oil and gas,480,106.0,73311,22.083333333333332,6547448.541146622,1445894.886169879,SAU
5,China National Petroleum Corporation,China,Oil and gas,476,25.2,1026301,5.294117647058823,463801.55529420706,24554.1999861639,CHN
6,China Petrochemical Corporation,China,Oil and gas,429,9.3,513434,2.167832167832168,835550.4310193715,18113.331022098264,CHN
7,Apple,United States,Information technology,416,112.0,166000,26.923076923076923,2506024.0963855423,674698.7951807228,USA
8,Alphabet,United States,Information technology,402,132.0,190820,32.83582089552239,2106697.411172833,691751.3887433183,USA
9,UnitedHealth Group,United States,Healthcare,400,14.4,400000,3.6000000000000005,1000000.0,36000.0,USA
10,Berkshire Hathaway,United States,Financials,371,88.9,392400,23.962264150943398,945463.8124362895,226554.5361875637,USA
11,CVS Health,United States,Healthcare,357,8.3,259500,2.3249299719887957,1375722.5433526011,31984.585741811177,USA
12,Volkswagen Group,Germany,Automotive,348,17.9,684025,5.143678160919539,508753.335038924,26168.634187346954,DEU
13,ExxonMobil,United States,Oil and gas,344,36.0,61500,10.465116279069768,5593495.934959349,585365.8536585366,USA
14,Vitol,Switzerland,Commodities,331,13.0,1560,3.927492447129909,212179487.17948717,8333333.333333333,CHE
15,Shell,United Kingdom,Oil and gas,323,19.3,103000,5.975232198142415,3135922.330097087,187378.64077669903,GBR
16,China State Construction Engineering,China,Construction,320,4.2,382894,1.3125000000000002,835740.439912874,10969.093273856472,CHN
17,Toyota,Japan,Automotive,312,34.2,380793,10.961538461538463,819342.7925408293,89812.5753362063,JPN
18,McKesson,United States,Healthcare,308,3.0,48000,0.974025974025974,6416666.666666667,62500.0,USA
19,Microsoft,United States,Information technology,281,101.0,228000,35.94306049822064,1232456.1403508773,442982.4561403509,USA
20,Cencora,United States,Healthcare,262,1.7,44000,0.648854961832061,5954545.454545454,38636.36363636364,USA
21,Trafigura,Singapore,Commodities,244,7.3,12479,2.9918032786885247,19552848.785960414,584982.771055373,SGP
22,Costco,United States,Retail,242,6.2,316000,2.56198347107438,765822.7848101265,19620.25316455696,USA
23,JPMorgan Chase,United States,Financials,239,49.5,309926,20.711297071129707,771151.8233384744,159715.54500106478,USA
24,Industrial and Commercial Bank of China,China,Financials,222,51.4,419252,23.153153153153152,529514.4686250752,122599.29588886874,CHN
25,Schwarz Gruppe,Germany,Retail,220,,604000,,364238.4105960265,,DEU
26,TotalEnergies,France,Oil and gas,218,21.3,102579,9.770642201834862,2125191.3159613567,207644.83958705,FRA
27,Glencore,Switzerland,Commodities,217,4.2,83426,1.935483870967742,2601107.5683839573,50344.017452592714,CHE
28,Nvidia,United States,Semiconductors,215,120.0,36000,55.81395348837209,5972222.222222222,3333333.3333333335,USA
29,BP,United Kingdom,Oil and gas,213,15.2,79400,7.136150234741784,2682619.647355164,191435.76826196472,GBR
30,Cardinal Health,United States,Healthcare,205,0.26,47520,0.12682926829268293,4313973.063973064,5471.380471380471,USA
31,Stellantis,Netherlands,Automotive,204,20.1,258275,9.852941176470589,789855.7738844255,77824.02477978899,NLD
32,Chevron,United States,Oil and gas,200,21.3,45600,10.65,4385964.912280702,467105.2631578947,USA
33,China Construction Bank,China,Financials,199,46.9,376871,23.567839195979897,528032.1383178859,124445.76526185352,CHN
34,Samsung Electronics,South Korea,Electronics,198,11.0,267860,5.555555555555555,739192.1152841037,41066.22862689465,KOR
35,Foxconn,Taiwan,Electronics,197,4.5,621393,2.284263959390863,317029.64146683336,7241.793840612945,TWN
36,Cigna,United States,Healthcare,195,5.1,71413,2.6153846153846154,2730595.2697688094,71415.56859395349,USA
37,Agricultural Bank of China,China,Financials,192,38.0,451003,19.791666666666664,425717.7890169245,84256.64574293297,CHN
38,China Railway Engineering Corporation,China,Construction,178,2.1,314149,1.1797752808988764,566610.111762253,6684.726037644557,CHN
39,Cargill,United States,Conglomerate,177,17.6,160000,9.943502824858758,1106250.0,110000.0,USA
40,Ford Motor Company,United States,Automotive,176,4.3,177000,2.443181818181818,994350.2824858757,24293.785310734464,USA
41,Bank of China,China,Financials,172,32.7,306931,19.01162790697675,560386.5363876572,106538.60313881622,CHN
42,Bank of America,United States,Financials,171,26.5,212985,15.497076023391813,802873.4417916755,124421.90764607837,USA
43,General Motors,United States,Automotive,171,10.1,163000,5.906432748538012,1049079.754601227,61963.19018404908,USA
44,Elevance Health,United States,Healthcare,171,5.9,104900,3.4502923976608186,1630123.9275500476,56244.04194470925,USA
45,BMW Group,Germany,Automotive,168,12.2,154950,7.261904761904761,1084220.7163601161,78735.07583091319,DEU
46,Mercedes-Benz Group,Germany,Automotive,165,15.4,166056,9.333333333333334,993640.6995230524,92739.79862215156,DEU
47,Meta Platforms,United States,Social media,164,62.3,78450,37.98780487804878,2090503.5054174634,794136.392606756,USA
48,China Railway Construction Corporation,China,Construction,160,1.7,336433,1.0625,475577.60386169015,5053.012041030458,CHN
49,Baowu,China,Steel,157,2.4,258697,1.5286624203821657,606887.5943671555,9277.262589052058,CHN
50,Citigroup,United States,Financials,156,9.2,237925,5.897435897435897,655668.8031942839,38667.64736786803,USA
